sortNumber;code;officialTitle;mediumTitle;shortTitle
1554;SK0325518484;Jalsovik;Jalsovik;Jalsovik
1555;SK0325518514;Kozi Vrbovok;Kozi Vrbovok;Kozi Vrbovok
1556;SK0325518531;Kralovce-Krnisov;Kralovce-Krnisov;Kralovce-Krnisov
1557;SK0325518557;Krupina;Krupina;Krupina
1558;SK0325518565;Lackov;Lackov;Lackov
1559;SK0325518573;Ladzany;Ladzany;Ladzany
1560;SK0325518603;Lisov;Lisov;Lisov
1561;SK0325518611;Litava;Litava;Litava
1562;SK0325518646;Medovarce;Medovarce;Medovarce
1563;SK0325518701;Rykyncice;Rykyncice;Rykyncice
1564;SK0325518735;Sebechleby;Sebechleby;Sebechleby
1565;SK0325518743;Selce;Selce;Selce
1566;SK0325518751;Senohrad;Senohrad;Senohrad
1567;SK0325518832;Sudince;Sudince;Sudince
1568;SK0325518841;Sudovce;Sudovce;Sudovce
1569;SK0325518867;Terany;Terany;Terany
1570;SK0325518883;Trpin;Trpin;Trpin
1571;SK0325518905;Unatin;Unatin;Unatin
1572;SK0325518956;Zemiansky Vrbovok;Zemiansky Vrbovok;Zemiansky Vrbovok
1573;SK0325518999;Zibritov;Zibritov;Zibritov
1574;SK0326511218;Lucenec;Lucenec;Lucenec
1575;SK0326511226;Abelova;Abelova;Abelova
1576;SK0326511234;Belina;Belina;Belina
1577;SK0326511251;Bolkovce;Bolkovce;Bolkovce
1578;SK0326511277;Budina;Budina;Budina
1579;SK0326511293;Buzitka;Buzitka;Buzitka
1580;SK0326511323;Cakanovce;Cakanovce;Cakanovce
1581;SK0326511331;Camovce;Camovce;Camovce
1582;SK0326511358;Divin;Divin;Divin
1583;SK0326511366;Dobroc;Dobroc;Dobroc
1584;SK0326511374;Kotmanova;Kotmanova;Kotmanova
1585;SK0326511391;Filakovo;Filakovo;Filakovo
1586;SK0326511404;Filakovske Kovace;Filakovske Kovace;Filakovske Kovace
1587;SK0326511421;Halic;Halic;Halic
1588;SK0326511439;Holisa;Holisa;Holisa
1589;SK0326511463;Jelsovec;Jelsovec;Jelsovec
1590;SK0326511480;Kalonda;Kalonda;Kalonda
1591;SK0326511528;Lehotka;Lehotka;Lehotka
1592;SK0326511536;Lentvora;Lentvora;Lentvora
1593;SK0326511544;Lipovany;Lipovany;Lipovany
1594;SK0326511552;Lovinobana;Lovinobana;Lovinobana
1595;SK0326511561;Luborec;Luborec;Luborec
1596;SK0326511579;Lupoc;Lupoc;Lupoc
1597;SK0326511609;Maskova;Maskova;Maskova
1598;SK0326511625;Mucin;Mucin;Mucin
1599;SK0326511641;Mytna;Mytna;Mytna
1600;SK0326511668;Nitra nad Iplom;Nitra nad Iplom;Nitra nad Iplom
1601;SK0326511676;Nove Hony;Nove Hony;Nove Hony
1602;SK0326511692;Panicke Dravce;Panicke Dravce;Panicke Dravce
1603;SK0326511706;Pila;Pila;Pila
1604;SK0326511714;Pincina;Pincina;Pincina
1605;SK0326511722;Ples;Ples;Ples
1606;SK0326511749;Podrecany;Podrecany;Podrecany
1607;SK0326511757;Polichno;Polichno;Polichno
1608;SK0326511773;Praha;Praha;Praha
1609;SK0326511781;Prsa;Prsa;Prsa
1610;SK0326511790;Radzovce;Radzovce;Radzovce
1611;SK0326511803;Rapovce;Rapovce;Rapovce
1612;SK0326511811;Ratka;Ratka;Ratka
1613;SK0326511838;Ruzina;Ruzina;Ruzina
1614;SK0326511846;Stara Halic;Stara Halic;Stara Halic
1615;SK0326511854;Savol;Savol;Savol
1616;SK0326511862;Siatorska Bukovinka;Siatorska Bukovinka;Siatorska Bukovinka
1617;SK0326511871;Sid;Sid;Sid
1618;SK0326511897;Surice;Surice;Surice
1619;SK0326511901;Tocnica;Tocnica;Tocnica
1620;SK0326511919;Tomasovce;Tomasovce;Tomasovce
1621;SK0326511927;Trebelovce;Trebelovce;Trebelovce
1622;SK0326511943;Tuhar;Tuhar;Tuhar
1623;SK0326511994;Velka nad Iplom;Velka nad Iplom;Velka nad Iplom
1624;SK0326512010;Velke Dravce;Velke Dravce;Velke Dravce
1625;SK0326557307;Vidina;Vidina;Vidina
1626;SK0326557315;Biskupice;Biskupice;Biskupice
1627;SK0326557331;Gregorova Vieska;Gregorova Vieska;Gregorova Vieska
1628;SK0326557340;Trenc;Trenc;Trenc
1629;SK0326558273;Bulhary;Bulhary;Bulhary
1630;SK0326580309;Mikusovce;Mikusovce;Mikusovce
1631;SK0327511269;Breznicka;Breznicka;Breznicka
1632;SK0327511315;Cinobana;Cinobana;Cinobana
1633;SK0327511340;Ceske Brezovo;Ceske Brezovo;Ceske Brezovo
1634;SK0327511447;Hradiste;Hradiste;Hradiste
1635;SK0327511471;Kalinovo;Kalinovo;Kalinovo
1636;SK0327511498;Kokava nad Rimavicou;Kokava nad Rimavicou;Kokava nad Rimavicou
1637;SK0327511501;Krna;Krna;Krna
1638;SK0327511595;Malinec;Malinec;Malinec
1639;SK0327511617;Mladzovo;Mladzovo;Mladzovo
1640;SK0327511684;Ozdin;Ozdin;Ozdin
1641;SK0327511765;Poltar;Poltar;Poltar
1642;SK0327511820;Rovnany;Rovnany;Rovnany
1643;SK0327511889;Soltyska;Soltyska;Soltyska
1644;SK0327511978;Uhorske;Uhorske;Uhorske
1645;SK0327512001;Velka Ves;Velka Ves;Velka Ves
1646;SK0327514900;Hrnciarska Ves;Hrnciarska Ves;Hrnciarska Ves
1647;SK0327514918;Hrnciarske Zaluzany;Hrnciarske Zaluzany;Hrnciarske Zaluzany
1648;SK0327515515;Selce;Selce;Selce
1649;SK0327515591;Susany;Susany;Susany
1650;SK0327557323;Dubakovo;Dubakovo;Dubakovo
1651;SK0327580317;Utekac;Utekac;Utekac
1652;SK0327582051;Zlatno;Zlatno;Zlatno
1653;SK0328514675;Drzkovce;Drzkovce;Drzkovce
1654;SK0328514721;Gemer;Gemer;Gemer
1655;SK0328514756;Gemerska Ves;Gemerska Ves;Gemerska Ves
1656;SK0328514896;Hrlica;Hrlica;Hrlica
1657;SK0328514977;Chvalova;Chvalova;Chvalova
1658;SK0328515159;Levkuska;Levkuska;Levkuska
1659;SK0328515256;Otrocok;Otrocok;Otrocok
1660;SK0328515302;Ploske;Ploske;Ploske
1661;SK0328515311;Polina;Polina;Polina
1662;SK0328515361;Rasice;Rasice;Rasice
1663;SK0328515370;Ratkova;Ratkova;Ratkova
1664;SK0328515400;Ratkovske Bystre;Ratkovske Bystre;Ratkovske Bystre
1665;SK0328515507;Rybnik;Rybnik;Rybnik
1666;SK0328515523;Skeresovo;Skeresovo;Skeresovo
1667;SK0328515574;Levare;Levare;Levare
1668;SK0328515612;Tornala;Tornala;Tornala
1669;SK0328515761;Visnove;Visnove;Visnove
1670;SK0328515833;Ziar;Ziar;Ziar
1671;SK0328525677;Gemerske Teplice;Gemerske Teplice;Gemerske Teplice
1672;SK0328525685;Gemersky Sad;Gemersky Sad;Gemersky Sad
1673;SK0328525766;Hucin;Hucin;Hucin
1674;SK0328525774;Chyzne;Chyzne;Chyzne
1675;SK0328525791;Jelsava;Jelsava;Jelsava
1676;SK0328525812;Kamenany;Kamenany;Kamenany
1677;SK0328525901;Licince;Licince;Licince
1678;SK0328525928;Lubenik;Lubenik;Lubenik
1679;SK0328525944;Magnezitovce;Magnezitovce;Magnezitovce
1680;SK0328525987;Muran;Muran;Muran
1681;SK0328525995;Muranska Dlha Luka;Muranska Dlha Luka;Muranska Dlha Luka
1682;SK0328526002;Muranska Huta;Muranska Huta;Muranska Huta
1683;SK0328526011;Muranska Lehota;Muranska Lehota;Muranska Lehota
1684;SK0328526029;Muranska Zdychava;Muranska Zdychava;Muranska Zdychava
1685;SK0328526037;Nandraz;Nandraz;Nandraz
1686;SK0328526100;Prihradzany;Prihradzany;Prihradzany
1687;SK0328526118;Rakos;Rakos;Rakos
1688;SK0328526142;Revuca;Revuca;Revuca
1689;SK0328526151;Revucka Lehota;Revucka Lehota;Revucka Lehota
1690;SK0328526258;Sirk;Sirk;Sirk
